country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,17.1,17.1,17.2,17.2,17.2,17.3,17.1,17,16.9,16.8,16.8,17.1,17.5,17.9,18.2,18.5,18,17.5,17.1,17,17,17.6,18.5,19.5,20.5,21.6,22.4,22.5
Albania,72,74.5,75,74.1,73.4,72.6,71.8,72.3,71.5,70.7,70.3,69.9,69.8,70,70.4,70.8,71.3,71.8,72.3,69.9,72.5,73.1,73.8,71.3,70.1,73.2,72.9,72.8
Algeria,15,15,15,15,15,15.2,15.3,15.4,15.5,15.7,15.9,16.2,16.6,17,17.4,17.9,18.4,19,19.7,20.4,20.5,21.9,23.4,24,22.8,22.6,22.4,22.6
Angola,92.1,92,91.8,91.4,91.6,91.9,92,92.1,92.2,92.4,92.5,92.5,92.3,92.4,92.6,92.9,93.1,93.4,93.5,93.5,93.6,93.5,93.6,93.7,93.8,93.9,94,94
Argentina,58.7,59.7,60.8,61.6,62.4,62.4,63.2,64.1,64.7,64.7,64.9,64.9,64.3,65.3,66.2,65.4,66,65.3,64.6,65.5,62.6,64.6,65,64.6,64.2,64.6,64.6,64.6
Armenia,69.5,69.6,69.8,70,70.2,70.5,70.8,71.1,71.5,71.8,72.1,72.2,72.3,72.3,72.2,72.1,71.9,71.7,71.4,71.4,69.3,73.5,73.7,74.6,73.4,72.9,72.8,72.9
Australia,69.1,69.6,70,70.2,71.4,72.6,73,73.3,73.7,74.2,75.5,76.6,76.9,78.2,77.9,79,79.7,80.2,80.7,81.3,81,81.6,82,82.2,82.6,83,83.8,84
Austria,62.1,62.6,64.2,65.1,68.3,69.4,69.4,70,70.7,70.9,71,71.9,73.5,73.8,76.1,76.6,77.3,77.6,78.4,79.6,80,80.8,81.5,81.9,82.5,82.6,83,83.2
Azerbaijan,74.3,74.4,74.8,75.8,77.1,78.1,78.4,78.4,78.4,78.5,81.1,83.6,85.9,88.2,90.4,92.5,94.5,96.6,95.1,93.5,91.9,90.2,90.3,90.2,90.6,91,90.3,90.5
Bahamas,81.6,81.8,82,82.3,82.6,82.9,83.2,83.4,83.9,84.7,85,85.3,85.5,85.3,85.4,85.7,85.8,85.8,85.6,85.3,85.5,85.5,85.7,85.6,85.5,85.2,85.1,85.3
Bahrain,32.7,33.1,33.8,34.6,35.3,36.1,37,37.8,38.5,39.3,40.1,41.3,42.4,43.4,44.3,45.2,46.2,47.1,48.1,49.1,50.1,49.6,49.7,49.9,50.1,50.3,50.5,50.6
Bangladesh,26.2,26.3,26.5,26.8,27.2,27.7,28.2,28.8,29.4,30,30.6,31.1,31.5,31.8,32.2,32.5,32.7,33.5,34.2,35.1,35.9,36.7,37.6,38.4,39.3,40.3,41.2,41.4
Barbados,78.9,80.5,80.5,81.2,81.9,82.3,85.9,83.6,83.8,83.9,84.1,84.2,84.4,84.5,84.8,85.1,85.4,85.6,85.9,86.1,86.9,86.7,86.2,87.8,89.6,88.4,88.8,88.9
Belarus,78.8,78.8,78.7,78.6,78.6,78.8,79.1,79.6,80.1,80.4,81,81.4,81.8,82,82.2,82.3,82.5,82.6,82.7,82.8,82.7,82.8,82.8,82.7,82.7,82.6,82.7,82.7
Belgium,60.2,62.2,63.8,65.5,65.8,66.4,66.7,67.8,68.7,70.6,71,69.2,70.6,71.2,73.2,74.2,75,75.9,76.8,77.4,78.1,78.4,78.5,79.7,80.9,81.2,81,81.4
